conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,scopeNote,description
http://data.europa.eu/esco/skill/08591546-e9bc-47fc-97b3-8663b3713a5f,knowledge,sector-specific,clinical reports,clinical notes;clinical documentation;clinical documentations;clinical note,,,"The methods, assessment practices, credentials and opinions gathering procedures necessary for writing clinical reports."
http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3,skill/competence,sector-specific,administer ICT system,administer system;operate system;administer network and system,,,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements."
http://data.europa.eu/esco/skill/089af6fe-a65e-4271-a232-b2d97ba6f43a,skill/competence,cross-sector,help clients make decisions during counselling sessions,support clients in decision-making during councelling sessoins;help clients make a decision during counseling sessions;help clients take decisions during councelling sessions;help a client make decisions during a counceling session;help clients make a decision during counselling sessions;encourage clients to make decisions during counselling sessions;help a client make decisions during a councelling session;encourage clients to make decisions in councelling sessions;help clients make decisions during counseling sessions,,,"Encourage clients to make their own decisions related to their problems or inner conflicts by reducing confusion and allowing clients to reach their own conclusions, with no bias whatsoever."
http://data.europa.eu/esco/skill/089bab26-a854-40fb-8c04-5be4f693315a,skill/competence,cross-sector,integrate strategic foundation in daily performance,integrating strategic foundation in daily performance;incorporate strategic foundation in daily performance;implement strategic foundation in daily performance;integrate strategic foundation in performance,,,"Reflect on the strategic foundation of companies, meaning their mission, vision, and values in order to integrate this foundation in the performance of the job position."
http://data.europa.eu/esco/skill/089ee650-297e-4716-87d1-440743b70a0d,skill/competence,cross-sector,ensure compliance with environmental legislation,ensure compliance with environmental regulations;ensuring environmental legislation compliance;ensure environmental legislation compliance;ensuring compliance with environmental legislation;check compliance with environmental laws;ensuring of compliance with environmental legislation;lead implementation of environmental legislation;lead implementation of environmental policies and legislation;checking compliance with environmental laws,,,"Monitor activities and perform tasks ensuring compliance with standards involving environmental protection and sustainability, and amend activities in the case of changes in environmental legislation. Ensure that the processes are compliant with environment regulations and best practices."
http://data.europa.eu/esco/skill/08a3dcea-12de-447b-a3a5-aa657abc5e97,skill/competence,sector-specific,execute social engineering tests,perform social engineering tests;execute social engineering attacks;test social engineering;perform social engineering attacks;test social engineering attacks,,,"Perform simulated social engineering attacks to identify vulnerabilities in an organization's security posture. Social engineering tests may involve phishing emails, pretexting, or other forms of manipulation used by attackers to obtain sensitive information or unauthorized access to systems."
http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,skill/competence,cross-sector,manage research data,oversee scientific data;handle research data;administer research data,,,Produce and analyse scientific data originating from qualitative and quantitative research methods. Store and maintain the data in research databases. Support the re-use of scientific data and be familiar with open data management principles.
http://data.europa.eu/esco/skill/08e2ff26-88ff-47b5-9d37-d19ace01b075,skill/competence,cross-sector,manage feedback,accept feedback;managing feedback;handle personal feedback;receive feedback,,,Provide feedback to others. Evaluate and respond constructively and professionally to critical communication from colleagues and customers.
http://data.europa.eu/esco/skill/08ee68b2-0a6d-4bdf-a870-a36c0dc8064e,skill/competence,cross-sector,produce statistical financial records,complete statistical financial records;produce a statistical financial record;provide statistical financial records;producing statistical financial records;administer statistical financial records;producing a statistical financial records;create statistical financial records,,,Review and analyse individual and company financial data in order to produce statistical reports or records.
http://data.europa.eu/esco/skill/08fd2839-670c-4f16-8024-97437f2035ab,skill/competence,cross-sector,plan marketing strategy,organise marketing strategy;plan marketing strategies;design marketing strategy;plan a marketing strategy;project marketing strategy;planning a marketing strategy;arrange marketing strategy,,,"Determine the objective of the marketing strategy whether it is for establishing image, implementing a pricing strategy, or raising awareness of the product. Establish approaches of marketing actions to ensure that goals are achieved efficiently and over a long term."
http://data.europa.eu/esco/skill/08fe5910-8c4c-4679-a988-eb2ded3c4909,knowledge,cross-sector,labour legislation,employment legislation;employment law;labor legislation;legislation on labour,,,"Legislation, on a national or international level, that governs labour conditions in various fields between labour parties such as the government, employees, employers, and trade unions."
